Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
592,548,4,CN1C(=O)N(CCC(C)(C)O)C2=CC(NC3=NC(N4CCC(F)(F)C(CO)C4)=NC=C3Cl)=CC=C21,"InChI=1S/C23H29ClF2N6O3/c1-22(2,35)6-9-32-18-10-15(4-5-17(18)30(3)21(32)34)28-19-16(24)11-27-20(29-19)31-8-7-23(25,26)14(12-31)13-33/h4-5,10-11,14,33,35H,6-9,12-13H2,1-3H3,(H,27,28,29)",AXXSGZFGJNDDCH-UHFFFAOYSA-N,BCL6,Unknown,,OCI-Ly1,,80,nM,,,,,https://doi.org/10.1021/acs.jmedchem.1c02175,AXXSGZFGJNDDCH
1223,1055,6,O=C1CCC(N2CC3=C(C=CC(CNC(=O)C4=CC=C(F)C=C4)=C3)C2=O)C(=O)N1,"InChI=1S/C21H18FN3O4/c22-15-4-2-13(3-5-15)19(27)23-10-12-1-6-16-14(9-12)11-25(21(16)29)17-7-8-18(26)24-20(17)28/h1-6,9,17H,7-8,10-11H2,(H,23,27)(H,24,26,28)",ZKKBMXPIWFMOKF-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,,80,nM,,57,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,ZKKBMXPIWFMOKF
926,828,Lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,HiBit,87.55,nM,,50.39,,,https://doi.org/10.1038/s41467-023-40385-9,GOTYRUGSSMKFNF
1659,1456,5,O=C1CCC(N2CC3=C(C=CC4=C3OCC43CCN(CC4=CC=CC=C4)CC3)C2=O)C(=O)N1,"InChI=1S/C26H27N3O4/c30-22-9-8-21(24(31)27-22)29-15-19-18(25(29)32)6-7-20-23(19)33-16-26(20)10-12-28(13-11-26)14-17-4-2-1-3-5-17/h1-7,21H,8-16H2,(H,27,30,31)",HZXUBAMXBADXJI-UHFFFAOYSA-N,IKZF2,CRBN,Q96SW2,,HiBiT,9.7,nM,,,,,https://doi.org/10.1038/s41467-025-58431-z,HZXUBAMXBADXJI
26,25,11a,C[C@H]1C[C@@H](N(C)C)CN(C2=NC(NC3=CC=C4C(=C3)C3=C(OCC(F)(F)[C@@H](C5CC5)N3)C(=O)N4C)=C(Cl)C=N2)C1,"InChI=1S/C28H34ClF2N7O2/c1-15-9-18(36(2)3)13-38(12-15)27-32-11-20(29)25(35-27)33-17-7-8-21-19(10-17)22-23(26(39)37(21)4)40-14-28(30,31)24(34-22)16-5-6-16/h7-8,10-11,15-16,18,24,34H,5-6,9,12-14H2,1-4H3,(H,32,33,35)/t15-,18+,24+/m0/s1",HPQGUGFUKNXBFU-PQNFPLSNSA-N,BCL6,Unknown,,OCI-Ly1,,9.8,nM,,,,,https://doi.org/10.1021/acs.jmedchem.1c02175,HPQGUGFUKNXBFU
458,419,LC-04-155,CC1=NN2C=CC(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)=NC2=C1,"InChI=1S/C20H17N5O3/c1-11-8-17-21-15(6-7-25(17)23-11)12-2-3-14-13(9-12)10-24(20(14)28)16-4-5-18(26)22-19(16)27/h2-3,6-9,16H,4-5,10H2,1H3,(H,22,26,27)",DLUKFEPFIRIULR-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,Western Blot,90,nM,,83,,,https://doi.org/10.1021/jacsau.4c00762,DLUKFEPFIRIULR
611,564,MGD-4,CN1CC2=C(N)C=CC=C2C(=O)N1C1CCC(=O)NC1=O,"InChI=1S/C14H16N4O3/c1-17-7-9-8(3-2-4-10(9)15)14(21)18(17)11-5-6-12(19)16-13(11)20/h2-4,11H,5-7,15H2,1H3,(H,16,19,20)",MXJNMZBXMSTPNN-UHFFFAOYSA-N,IKZF2,CRBN,Q96SW2,HEK293T,,918.2,nM,,,,,https://doi.org/10.1186/s13045-024-01592-z,MXJNMZBXMSTPNN
852,785,F3CO-Le,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC(OC(F)(F)F)=C1,"InChI=1S/C14H12F3N3O4/c15-14(16,17)24-6-3-7-8(9(18)4-6)5-20(13(7)23)10-1-2-11(21)19-12(10)22/h3-4,10H,1-2,5,18H2,(H,19,21,22)",CFLQOYFUGDVTBH-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,945,nM,,76.63,,,https://doi.org/10.1038/s41467-023-40385-9,CFLQOYFUGDVTBH
611,564,MGD-4,CN1CC2=C(N)C=CC=C2C(=O)N1C1CCC(=O)NC1=O,"InChI=1S/C14H16N4O3/c1-17-7-9-8(3-2-4-10(9)15)14(21)18(17)11-5-6-12(19)16-13(11)20/h2-4,11H,5-7,15H2,1H3,(H,16,19,20)",MXJNMZBXMSTPNN-UHFFFAOYSA-N,IKZF3,CRBN,Q96SW2,HEK293T,,95.8,nM,,,,,https://doi.org/10.1186/s13045-024-01592-z,MXJNMZBXMSTPNN
281,266,TMX1,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)OC(C)(C)C)N=C2C1=CC=C(/C=C/C=O)C=C1,"InChI=1S/C26H28N4O3S/c1-15-16(2)34-25-22(15)23(19-11-9-18(10-12-19)8-7-13-31)27-20(14-21(32)33-26(4,5)6)24-29-28-17(3)30(24)25/h7-13,20H,14H2,1-6H3/b8-7+/t20-/m0/s1",SJISOGWQGIVAGX-DUIUGDAFSA-N,BRD4,DCAF16,Q9NXF7,,,,,,75,16 h,,https://doi.org/10.1016/j.ejmech.2024.116904,SJISOGWQGIVAGX
